Image,Mask
D:\challenge\data\ATLASR2.0\process\validation/Image/0.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/0.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/1.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/1.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/2.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/2.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/3.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/3.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/4.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/4.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/5.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/5.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/6.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/6.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/7.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/7.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/8.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/8.npy
D:\challenge\data\ATLASR2.0\process\validation/Image/9.npy,D:\challenge\data\ATLASR2.0\process\validation/Mask/9.npy
